input brand,wakarunda brand,rank,OK
Praeger,Praeger,-,1
West Academic Publishing,West Academic Publishing,-,1
"Little, Brown and Company","Little, Brown and Company",-,1
"Little, Brown and Company","Little, Brown and Company",-,1
Yen Press,Yen Press,-,1
"Little, Brown and Company","Little, Brown and Company",-,1
"Little, Brown and Company","Little, Brown and Company",-,1
Yen Press,Yen Press,-,1
"Little, Brown and Company","Little, Brown and Company",-,1
"Little, Brown and Company","Little, Brown and Company",-,1
ADDISON-WESLEY,ADDISON-WESLEY,-,1
New Riders,New Riders,-,1
Mosby,Mosby,-,1
Mosby,Mosby,-,1
William Andrew,William Andrew,-,1
Saunders,Saunders,-,1
Mosby,Mosby,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
Mosby,Mosby,-,1
Mosby,Mosby,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
Mosby,Mosby,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
Mosby,Mosby,-,1
Saunders,Saunders,-,1
Saunders,Saunders,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
South Western Educational Publishing,South Western Educational Publishing,-,1
Heinemann Educational Books,Heinemann Educational Books,-,1
MACMILLAN,MACMILLAN,-,1
Forgotten Books,Forgotten Books,-,1
MACMILLAN,MACMILLAN,-,1
MACMILLAN,MACMILLAN,-,1
MACMILLAN,MACMILLAN,-,1
Red Globe Press,Red Globe Press,-,1
SCM Press,SCM Press,-,1
Open University Press,Open University Press,-,1
Open University Press,Open University Press,-,1
Open University Press,Open University Press,-,1
Open University Press,Open University Press,-,1
Hodder & Stoughton,Hodder & Stoughton,-,1
Hodder & Stoughton,Hodder & Stoughton,-,1
Bloomsbury,Bloomsbury,-,1
Hodder & Stoughton,Hodder & Stoughton,-,1
Hodder,Hodder,-,1
Ballantine Books,Ballantine Books,-,1
LucasBooks,LucasBooks,-,1
ATOM,ATOM,-,1
Abacus,Abacus,-,1
Piatkus,Piatkus,-,1
"Little, Brown and Company","Little, Brown and Company",-,1
Brooks/Cole,Brooks/Cole,-,1
Course Technology,Course Technology,-,1
Cengage Learning,Cengage Learning,-,1
Cengage Learning,Cengage Learning,-,1
Cengage Learning,Cengage Learning,-,1
Forgotten Books,Forgotten Books,-,1
Chapman and Hall/CRC,Chapman and Hall/CRC,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Chapman and Hall/CRC,Chapman and Hall/CRC,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
Routledge,Routledge,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
CRC Press,CRC Press,-,1
ReadHowYouWant,ReadHowYouWant,-,1
ReadHowYouWant,ReadHowYouWant,-,1
Harlequin,Harlequin,-,1
Doubleday,Doubleday,-,1
Doubleday,Doubleday,-,1
Doubleday,Doubleday,-,1
Delta,Delta,-,1
Doubleday,Doubleday,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Brill,Brill,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
Knopf,Knopf,-,1
Philomel Books,Philomel Books,-,1
Springer,Springer,-,1
Chapman and Hall/CRC,Chapman and Hall/CRC,-,1
Chapman and Hall/CRC,Chapman and Hall/CRC,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Sweet & Maxwell,Sweet & Maxwell,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Routledge,Routledge,-,1
Berkley,Berkley,-,1
"Little, Brown and Company","Little, Brown and Company",-,1
Scholastic,Scholastic,-,1
Scholastic,Scholastic,-,1
Scholastic,Scholastic,-,1
Scholastic,Scholastic,-,1
Churchill Livingstone,Churchill Livingstone,-,1
Churchill Livingstone,Churchill Livingstone,-,1
Saunders,Saunders,-,1
Mosby,Mosby,-,1
Saunders Ltd.,Saunders Ltd.,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
North Holland,North Holland,-,1
Grand Central Publishing,Grand Central Publishing,-,1
Fawcett,Fawcett,-,1
Phoenix,Phoenix,D,1
Basic Books,Basic Books,-,1
Basic Books,Basic Books,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Sybex,Sybex,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Jossey-Bass,Jossey-Bass,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Jossey-Bass,Jossey-Bass,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
JOHN WILEY & SONS INC,JOHN WILEY & SONS INC,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
JOHN WILEY & SONS INC,JOHN WILEY & SONS INC,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
Wiley,Wiley,-,1
Wiley-Blackwell,Wiley-Blackwell,-,1
University of Michigan Press,University of Michigan Press,-,1
University of Michigan Press,University of Michigan Press,-,1
Abrams,Abrams,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Dover Publications,Dover Publications,-,1
Cengage Learning,Cengage Learning,-,1
Wadsworth,Wadsworth,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
THAMES & HUDSON LTD,THAMES & HUDSON LTD,-,1
W. W. Norton & Company,W. W. Norton & Company,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Thames & Hudson,Thames & Hudson,-,1
Clarkson Potter,Clarkson Potter,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
University of California Press,University of California Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge English,Cambridge English,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
Cambridge University Press,Cambridge University Press,-,1
