input brand,wakarunda brand,rank,OK
Cisco,Cisco,-,1
COLLINS,COLLINS,-,1
Harper Voyager,Harper Voyager,-,1
Fourth Estate,Fourth Estate,-,1
Voyager,Voyager,-,1
Farshore,Farshore,-,1
Harper Paperbacks,Harper Paperbacks,-,1
William Morrow,William Morrow,-,1
William Morrow,William Morrow,-,1
Chandos Publishing,Chandos Publishing,-,1
Woodhead Publishing,Woodhead Publishing,-,1
Ebury Press,Ebury Press,-,1
Ebury Press,Ebury Press,-,1
The Stationery Office,The Stationery Office,-,1
Gulf Professional Publishing,Gulf Professional Publishing,-,1
FT Press,FT Press,-,1
Pearson FT Press,Pearson FT Press,-,1
Puffin,Puffin,-,1
Puffin,Puffin,-,1
Puffin Books,Puffin Books,-,1
Smithsonian Institution Scholarly Press,Smithsonian Institution Scholarly Press,-,1
ADDISON-WESLEY,ADDISON-WESLEY,-,1
Da Capo Press,Da Capo Press,-,1
Da Capo Press,Da Capo Press,-,1
FT Press,FT Press,-,1
Hachette Books,Hachette Books,-,1
Hachette Books,Hachette Books,-,1
ADDISON-WESLEY,ADDISON-WESLEY,-,1
Hachette Books,Hachette Books,-,1
FT Publishing,FT Publishing,-,1
Da Capo Press,Da Capo Press,-,1
Routledge,Routledge,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
University of Chicago Press,University of Chicago Press,-,1
Firefly Books,Firefly Books,-,1
Red Globe Press,Red Globe Press,-,1
MACMILLAN,MACMILLAN,-,1
Red Globe Press,Red Globe Press,-,1
MACMILLAN,MACMILLAN,-,1
MACMILLAN,MACMILLAN,-,1
MACMILLAN,MACMILLAN,-,1
Columbia University Press,Columbia University Press,-,1
Columbia University Press,Columbia University Press,-,1
Columbia University Press,Columbia University Press,-,1
Hamish Hamilton,Hamish Hamilton,-,1
Puffin,Puffin,-,1
DK,DK,-,1
DK Eyewitness Travel,DK Eyewitness Travel,-,1
Puffin,Puffin,-,1
DK,DK,-,1
University of Illinois Press,University of Illinois Press,-,1
University of Illinois Press,University of Illinois Press,-,1
Indiana University Press,Indiana University Press,-,1
Indiana University Press,Indiana University Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
BRADFORD BOOKS,BRADFORD BOOKS,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
The MIT Press,The MIT Press,-,1
ABC-CLIO,ABC-CLIO,-,1
Reader's Digest,Reader's Digest,-,1
Reader's Digest,Reader's Digest,-,1
SPCK Publishing,SPCK Publishing,-,1
SPCK Publishing,SPCK Publishing,-,1
Routledge,Routledge,-,1
University of Washington Press,University of Washington Press,-,1
University of Washington Press,University of Washington Press,-,1
Weidenfeld & Nicolson,Weidenfeld & Nicolson,-,1
Weidenfeld & Nicolson,Weidenfeld & Nicolson,-,1
Weidenfeld & Nicolson,Weidenfeld & Nicolson,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Metropolitan Museum of Art New York,Metropolitan Museum of Art New York,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Metropolitan Museum of Art New York,Metropolitan Museum of Art New York,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Whitney Museum of American Art,Whitney Museum of American Art,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Yale University Press,Yale University Press,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Springer,Springer,-,1
Pantheon,Pantheon,-,1
Potter Craft,Potter Craft,-,1
Knopf,Knopf,-,1
Joseph Henry Press,Joseph Henry Press,-,1
National Academies Press,National Academies Press,-,1
Zondervan,Zondervan,-,1
St. Martin's Press,St. Martin's Press,-,1
MACMILLAN,MACMILLAN,-,1
MACMILLAN,MACMILLAN,-,1
St. Martin's Paperbacks,St. Martin's Paperbacks,-,1
Bloomsbury Academic,Bloomsbury Academic,-,1
Greenwood,Greenwood,-,1
Bloomsbury Academic,Bloomsbury Academic,-,1
Praeger,Praeger,-,1
By,By,-,1
