Transaction creation date,Type,Order number,Legacy order ID,Buyer username,Buyer name,Ship to city,Ship to province/region/state,Ship to zip,Ship to country,Net amount,Payout currency,Payout date,Payout ID,Payout method,Payout status,Reason for hold,Item ID,Transaction ID,Item title,Custom label,Quantity,Item subtotal,Shipping and handling,Seller collected tax,eBay collected tax,Final Value Fee - fixed,Final Value Fee - variable,Regulatory operating fee,"Very high ""item not as described"" fee",Below standard performance fee,International fee,Charity donation,Deposit processing fee,Gross transaction amount,Transaction currency,Exchange rate,Reference ID,Description
2025-07-12T04:22:09.329Z,Other fee,17-13301-87930,17-13301-87930,lizawinters,--,Kalamazoo,MI,49009,US,15.04,USD,--,6982102675,--,--,--,3.57249E+11,FEE-6909462218719_11,[Very popular collaboration] adidas x Gucci headband bandana scarf,rkm_6d92a7487aa0725bb16c5450961347b9,1,258,--,--,--,--,--,--,--,--,--,--,--,258,USD,--,--,Promoted Listings - General fee
2025-07-12T04:18:51.698Z,Order,17-13301-87930,17-13301-87930,lizawinters,--,Kalamazoo,MI,49009,US,215.3,USD,--,6985208995,--,--,--,3.57249E+11,17-13301-87930,[Very popular collaboration] adidas x Gucci headband bandana scarf,rkm_6d92a7487aa0725bb16c5450961347b9,1,258,--,--,--,--,--,--,--,--,--,--,--,258,USD,--,--,--
2025-07-12T00:02:21.774Z,Order,20-13297-38059,20-13297-38059,audretaya_0,--,Granada Hills,CA,91344,US,86.74,USD,--,6989099275,--,--,--,3.57263E+11,20-13297-38059,Limited time sale MIUMIU Miu Miu cord x nylon trick,rkm_115e56fd659c871619392dbb73937690,1,105,--,--,--,--,--,--,--,--,--,--,--,105,USD,--,--,--
2025-07-11T18:15:04.529Z,Other fee,22-13293-74584,22-13293-74584,gongoraconstruction-8,--,CHAPEL HILL,NC,27517,US,15.87,USD,--,6982102675,--,--,--,3.57225E+11,FEE-6908462508219_11,Gold Black [Extremely Beautiful] Louis Vuitton Sunglasses Z0010E,rkm_f9dc56705c48047768cb8c69341fd33d,1,269,--,--,--,--,--,--,--,--,--,--,--,269,USD,--,--,Promoted Listings - General fee
2025-07-11T18:11:06.980Z,Order,22-13293-74584,22-13293-74584,gongoraconstruction-8,--,CHAPEL HILL,NC,27517,US,223.98,USD,--,6990484843,--,--,--,3.57225E+11,22-13293-74584,Gold Black [Extremely Beautiful] Louis Vuitton Sunglasses Z0010E,rkm_f9dc56705c48047768cb8c69341fd33d,1,269,--,--,--,--,--,--,--,--,--,--,--,269,USD,--,--,--
2025-07-04T20:09:46.853Z,Order,05-13289-00168,05-13289-00168,239dena3362,--,Lake City,FL,32024-5104,US,95.45,USD,--,6982102675,--,--,--,3.57169E+11,05-13289-00168,LOUIS VUITTON Louis Vuitton Portefeuille Sara Monogram,rkm_bbc40ae97aa2eb017e652336dd8873fe,1,115,--,--,--,--,--,--,--,--,--,--,--,115,USD,--,--,--
2025-07-02T04:33:13.000Z,TRANSFER,--,--,--,--,--,--,--,--,65.95,USD,--,6982102675,--,--,--,--,20976809875,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65.95,USD,--,--,--
2025-07-01T17:08:11.763Z,Other fee,--,--,--,--,--,--,--,--,65.95,USD,--,6982102675,--,--,--,--,INVOICE-6879982403319_11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,65.95,USD,--,--,2025-06-30 - 2025-07-30
2025-06-23T16:52:22.854Z,CREDIT,21-13151-10071,21-13151-10071,divysh-73,--,Hicksville,NY,11801,US,221,USD,--,6946924051,--,--,--,3.5698E+11,DISPUTE_HOLD_REVERSE-6518576621-6339531481,Hermes HERMES Makeup Pouch Neo-Ban PM Cosmetic Pouch Orange,rkm_b4197e4a61f304a8c9300b5b641f6ef1,1,221,--,--,--,--,--,--,--,--,--,--,--,221,USD,--,--,--
2025-06-23T16:42:06.253Z,Refund,21-13151-10071,21-13151-10071,divysh-73,--,Hicksville,NY,11801,US,221,USD,--,6946924051,--,--,--,3.5698E+11,RRP-6521787646-CCM_CHARGE,Hermes HERMES Makeup Pouch Neo-Ban PM Cosmetic Pouch Orange,rkm_b4197e4a61f304a8c9300b5b641f6ef1,1,221,--,--,--,--,--,--,--,--,--,--,--,221,USD,--,--,--
