Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-03-28T22:53:38.019Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:51:32.790Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:51:03.501Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:50:53.227Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:50:52.248Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:49:29.040Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:49:16.339Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:48:36.058Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:48:15.559Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:48:14.108Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:46:32.204Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:46:25.190Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:45:49.701Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:45:48.745Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:45:32.221Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:45:11.295Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:44:17.324Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:43:11.415Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:42:32.958Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:41:33.165Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:41:25.092Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:40:51.810Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:40:48.239Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:40:08.871Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:39:47.976Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:39:32.538Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
2026-03-28T22:38:41.157Z,NON_SALE_CHARGE,,,0,0,0,0,0,0.11,USD,PAYOUT,Insertion Fee
