Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-04-03T22:16:45.122Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,3.3,USD,PAYOUT,Promoted Listings - General fee
2026-04-03T22:10:46.727Z,SALE,01-14469-13395,townyork,139.99,20.92,0.44,1.98,23.34,116.65,USD,PAYOUT,
2026-04-03T02:19:28.712Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,8.83,USD,PAYOUT,Promoted Listings - General fee
2026-04-03T02:14:41.856Z,SALE,10-14451-54738,valerianicole212,359.99,56.08,0.44,5.3,61.82,298.17,USD,PAYOUT,
2026-04-02T18:09:35.627Z,ADJUSTMENT,,,0.0,0.0,0.0,0.0,0.0,0.01,USD,PAYOUT,TAX Only Debit
2026-04-01T16:24:37.350Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,65.95,USD,PAYOUT,2026-03-31 - 2026-04-29
2026-03-31T12:25:04.831Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,8.56,USD,PAYOUT,Promoted Listings - General fee
2026-03-31T04:11:13.138Z,SALE,05-14446-40729,esterma-0,379.99,54.35,0.44,5.78,60.57,319.42,USD,PAYOUT,
2026-03-30T01:14:33.348Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,2.94,USD,PAYOUT,Promoted Listings - General fee
2026-03-30T01:10:35.496Z,SALE,23-14414-27370,mcqueen2008,123.47,18.63,0.44,1.98,21.05,102.42,USD,PAYOUT,
2026-03-29T06:40:59.373Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T04:55:02.718Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T04:45:05.880Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T04:38:00.858Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T04:35:59.299Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T04:02:13.474Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:54:24.679Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:52:10.770Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:49:46.974Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:47:46.926Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:40:43.836Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:39:18.305Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-29T03:37:45.721Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
