seller-sku	quantity	price	product-id
B001SEWS48	1	266.19	B001SEWS48
B001TH2SM6	1	95.43	B001TH2SM6
B001TICCDU	1	328.7	B001TICCDU
B001TPFR9E	1	135.41	B001TPFR9E
B001TPJ9CU	1	92.32	B001TPJ9CU
B001U000X6	1	200.88	B001U000X6
B001U02282	1	175.74	B001U02282
B001UQ602A	1	59.61	B001UQ602A
B001V9KBQM	1	54.63	B001V9KBQM
B001VNCVTI	1	72.66	B001VNCVTI
B001W9QQLK	1	53.36	B001W9QQLK
B0023LFEI2	1	177.99	B0023LFEI2
B0023LO5SW	1	257.81	B0023LO5SW
B0023LQ0DA	1	220.89	B0023LQ0DA
B0023LQ0JO	1	106.41	B0023LQ0JO
B00251MKGE	1	80.68	B00251MKGE
B0026A5TR6	1	78.75	B0026A5TR6
B0026J7GZ0	1	59.03	B0026J7GZ0
B0027BECHC	1	60.45	B0027BECHC
B00287Z2D8	1	73.26	B00287Z2D8
B002A5U36E	1	309.9	B002A5U36E
B002A5U39G	1	69.41	B002A5U39G
B002A5VXQ8	1	265.98	B002A5VXQ8
B002EL47B6	1	137.5	B002EL47B6
B002EQAZ2G	1	134.58	B002EQAZ2G
B002FL43D2	1	84.39	B002FL43D2
B002HK3HWE	1	62.25	B002HK3HWE
B002IGT0VY	1	198.07	B002IGT0VY
B002P8JAO2	1	148.76	B002P8JAO2
B002PS4AD8	1	57.24	B002PS4AD8
B002QD2ROQ	1	109.16	B002QD2ROQ
B002U9LS6Y	1	62.99	B002U9LS6Y
B002UMFOCU	1	137.5	B002UMFOCU
B002WQSV1A	1	61.29	B002WQSV1A
B002XTKB7I	1	119.89	B002XTKB7I
B00313IMQM	1	170.53	B00313IMQM
B0032CB9TO	1	152.84	B0032CB9TO
B0037FDUNO	1	106.43	B0037FDUNO
B0038K9C5S	1	64.69	B0038K9C5S
B003BYW6J0	1	274.47	B003BYW6J0
B003CF4W18	1	70.94	B003CF4W18
B003DTLT1E	1	277.97	B003DTLT1E
B003DTLT1Y	1	380.38	B003DTLT1Y
B003DXUBOQ	1	55.01	B003DXUBOQ
B003JEHCUK	1	57.56	B003JEHCUK
B003JEHD40	1	62.89	B003JEHD40
B003M13XMQ	1	225.15	B003M13XMQ
B003O9G508	1	74.02	B003O9G508
B003POKJTU	1	57.62	B003POKJTU
B003UB2UN6	1	469.95	B003UB2UN6
B003VR3254	1	88.33	B003VR3254
B003WMI5WI	1	58.98	B003WMI5WI
B003XKOJYC	1	169.98	B003XKOJYC
B003Z8VI0U	1	116.88	B003Z8VI0U
B0042RVJV6	1	74.04	B0042RVJV6
B00466IPGU	1	74.73	B00466IPGU
B00470O44W	1	170.93	B00470O44W
B0047R1Z2Y	1	88.22	B0047R1Z2Y
B004CFBNBO	1	71.98	B004CFBNBO
B004EBUJ8O	1	64.09	B004EBUJ8O
B004FBIZC0	1	83.86	B004FBIZC0
B004GSP0TI	1	58.73	B004GSP0TI
B004HGYIKQ	1	53.29	B004HGYIKQ
B004INGZLS	1	85.76	B004INGZLS
B004JKG7TA	1	116.39	B004JKG7TA
B004JQOW8M	1	73.09	B004JQOW8M
B004OQY8HM	1	269.66	B004OQY8HM
B004RJW0OY	1	81.76	B004RJW0OY
B004W1BS7M	1	98.01	B004W1BS7M
B004WXEV7E	1	89	B004WXEV7E
B005543ZUS	1	80.82	B005543ZUS
B005644Z10	1	64.61	B005644Z10
B005DNQQHK	1	50.21	B005DNQQHK
B005ET25JG	1	58.22	B005ET25JG
B005FTXVXO	1	62.3	B005FTXVXO
B005GYS8RC	1	107.32	B005GYS8RC
B005NGP2JK	1	80.96	B005NGP2JK
B005QIUQ6Y	1	123.47	B005QIUQ6Y
B005T57KEA	1	58.57	B005T57KEA
B005T5K0H4	1	121.83	B005T5K0H4
B005T64TDY	1	202.95	B005T64TDY
B005T6BPN6	1	79.36	B005T6BPN6
B005T7JGI6	1	141.92	B005T7JGI6
B005T7JYSI	1	139.3	B005T7JYSI
B005T7QH0Q	1	79.39	B005T7QH0Q
B005T986Z8	1	97.62	B005T986Z8
B0068CDQ46	1	111.24	B0068CDQ46
B006FEJ0UG	1	69.61	B006FEJ0UG
B006FELTLO	1	77.51	B006FELTLO
B006J42K5O	1	167.35	B006J42K5O
B006JW4J6Y	1	75.95	B006JW4J6Y
B006JW7WVI	1	297.56	B006JW7WVI
B006JW7YJI	1	416.25	B006JW7YJI
B006L99H44	1	86.77	B006L99H44
B006YR3W8K	1	64.69	B006YR3W8K
B00751DTXC	1	96.02	B00751DTXC
B0076H51MC	1	132.74	B0076H51MC
B0076H5R6C	1	144.39	B0076H5R6C
B007CEK87C	1	116.47	B007CEK87C
B007HHAHNE	1	82.3	B007HHAHNE
